playerName,season,total_points,total_games,avg_points_per_game
Alperen Sengun,2025-26,610.0,28,21.785714285714285
Alphonso Ford,1993-94,16.0,6,2.6666666666666665
Alphonso Ford,1994-95,19.0,5,3.8
Alton Ford,2001-02,164.0,51,3.215686274509804
Alton Ford,2002-03,6.0,9,0.6666666666666666
Alton Ford,2003-04,15.0,8,1.875
Alton Lister,1981-82,362.0,80,4.525
Alton Lister,1982-83,674.0,80,8.425
Alton Lister,1983-84,626.0,82,7.634146341463414
Alton Lister,1984-85,798.0,81,9.851851851851851
Alton Lister,1985-86,796.0,81,9.82716049382716
Alton Lister,1986-87,871.0,75,11.613333333333333
Alton Lister,1987-88,461.0,82,5.621951219512195
Alton Lister,1988-89,657.0,82,8.012195121951219
Alton Lister,1989-90,12.0,3,4.0
Alton Lister,1990-91,491.0,77,6.376623376623376
Alton Lister,1991-92,102.0,26,3.923076923076923
Alton Lister,1992-93,45.0,20,2.25
Alton Lister,1994-95,167.0,60,2.783333333333333
Alton Lister,1995-96,143.0,64,2.234375
Alton Lister,1996-97,87.0,53,1.6415094339622642
Alton Lister,1997-98,6.0,6,1.0
Alvan Adams,1975-76,1519.0,80,18.9875
Alvan Adams,1976-77,1296.0,72,18.0
Alvan Adams,1977-78,1082.0,70,15.457142857142857
Alvan Adams,1978-79,1369.0,77,17.77922077922078
Alvan Adams,1979-80,1118.0,75,14.906666666666666
Alvan Adams,1980-81,1115.0,75,14.866666666666667
Alvan Adams,1981-82,1196.0,79,15.139240506329115
Alvan Adams,1982-83,1135.0,80,14.1875
Alvan Adams,1983-84,670.0,70,9.571428571428571
Alvan Adams,1984-85,1188.0,81,14.666666666666666
Alvan Adams,1985-86,841.0,78,10.782051282051283
Alvan Adams,1986-87,756.0,68,11.117647058823529
Alvan Adams,1987-88,611.0,82,7.451219512195122
Alvin Attles,1960-61,97.0,13,7.461538461538462
Alvin Attles,1961-62,169.0,11,15.363636363636363
Alvin Attles,1962-63,743.0,71,10.464788732394366
Alvin Attles,1963-64,740.0,69,10.72463768115942
Alvin Attles,1964-65,679.0,73,9.301369863013699
Alvin Attles,1965-66,882.0,79,11.164556962025317
Alvin Attles,1966-67,512.0,69,7.420289855072464
Alvin Attles,1967-68,652.0,67,9.73134328358209
Alvin Attles,1968-69,419.0,51,8.215686274509803
Alvin Attles,1969-70,231.0,45,5.133333333333334
Alvin Attles,1970-71,68.0,34,2.0
Alvin Heggs,1995-96,8.0,4,2.0
Alvin Holt,1970-71,2.0,5,0.4
Alvin Jones,2001-02,26.0,16,1.625
Alvin Robertson,1984-85,726.0,79,9.189873417721518
Alvin Robertson,1985-86,1392.0,82,16.975609756097562
Alvin Robertson,1986-87,1437.0,81,17.74074074074074
Alvin Robertson,1987-88,1610.0,82,19.634146341463413
Alvin Robertson,1988-89,1122.0,65,17.26153846153846
Alvin Robertson,1989-90,1153.0,81,14.234567901234568
Alvin Robertson,1990-91,1098.0,81,13.555555555555555
Alvin Robertson,1991-92,1010.0,82,12.317073170731707
Alvin Robertson,1992-93,618.0,69,8.956521739130435
Alvin Robertson,1995-96,718.0,77,9.324675324675324
Alvin Scott,1977-78,492.0,81,6.074074074074074
Alvin Scott,1978-79,544.0,81,6.716049382716049
Alvin Scott,1979-80,350.0,79,4.430379746835443
Alvin Scott,1980-81,444.0,82,5.414634146341464
Alvin Scott,1981-82,486.0,81,6.0
Alvin Scott,1982-83,329.0,81,4.061728395061729
Alvin Scott,1983-84,167.0,65,2.5692307692307694
Alvin Scott,1984-85,276.0,77,3.5844155844155843
Alvin Sims,1998-99,11.0,4,2.75
Alvin Williams,1997-98,324.0,53,6.113207547169812
Alvin Williams,1998-99,248.0,50,4.96
Alvin Williams,1999-00,292.0,55,5.3090909090909095
Alvin Williams,2000-01,802.0,82,9.78048780487805
Alvin Williams,2001-02,971.0,82,11.841463414634147
Alvin Williams,2002-03,1027.0,78,13.166666666666666
Alvin Williams,2003-04,494.0,56,8.821428571428571
Alvin Williams,2005-06,1.0,1,1.0
Alvin Williams,2006-07,2.0,2,1.0
Amal McCaskill,1996-97,27.0,16,1.6875
Amal McCaskill,2001-02,52.0,23,2.260869565217391
Amal McCaskill,2002-03,11.0,9,1.2222222222222223
Amal McCaskill,2003-04,113.0,58,1.9482758620689655
Amar'e Stoudemire,2002-03,1106.0,82,13.487804878048781
Amar'e Stoudemire,2003-04,1133.0,55,20.6
